GRID_ID,GRTS_No,STATE,stabb,Albers_X,Albers_Y,Sample,Surveyed2017,Surveyed2022,Grouping1,Grouping2,propFire5_2022,propFire20_2022,meanHumanMod_2022,meanNDVI_2022,Copeland_Inman,ClusterCells,SDMayDepth_2022,meanMayDepth_2022,SDMaySWE_2022,meanMaySWE_2022
8523,CO Site-061,Colorado,CO,-977264.3575,1934854.744,No,No,No,SouthernRockies,Zeroes,0.02,0.04,5.034890175,69.40000153,0.7,9,256.9149027,523.1876471,97.54136765,183.8235672
8524,CO Site-002,Colorado,CO,-961695.4277,1931164.907,Yes,No,Yes,SouthernRockies,Zeroes,0.02,0.02,2.890010118,65.19999695,0.98,9,387.7195987,1341.572941,119.0578517,516.1756287
8525,CO Site-093,Colorado,CO,-950259.4979,1925675.07,No,No,No,SouthernRockies,Zeroes,0,0.01,3.351939917,62.90000153,0.91,9,392.3187664,1378.179532,111.9758317,535.6532959
8530,CO Site-026,Colorado,CO,-875600.8488,1912399.883,Yes,No,Yes,SouthernRockies,Zeroes,0,0,1.333029985,35.5,0.92,1,381.6195961,1045.879179,165.9484261,371.9242432
8532,CO Site-001,Colorado,CO,-846621.9892,1913747.209,Yes,No,Yes,SouthernRockies,Zeroes,0.07,0.07,11.52579975,46.90000153,0.87,45,252.8224181,852.622807,81.67637603,289.9791168
8533,CO Site-105,Colorado,CO,-826547.0593,1905023.372,No,No,No,SouthernRockies,Zeroes,0.02,0.02,19.25530052,46.59999847,0.99,45,247.4535086,1122.219412,77.84872638,373.0985535
8648,CO Site-106,Colorado,CO,-959703.5905,1949330.836,No,No,No,SouthernRockies,Zeroes,0.05,0.08,2.051520109,43.79999924,0.89,9,351.9297456,1226.310465,104.714015,463.1797119
8649,CO Site-098,Colorado,CO,-943744.6607,1942813.999,No,No,No,SouthernRockies,Zeroes,0.18,0.36,1.01801002,70.19999695,1,9,379.1220864,1433.328235,122.2540368,543.7538147
8650,CO Site-114,Colorado,CO,-928848.7308,1936445.162,No,No,No,SouthernRockies,Zeroes,0.01,0.02,2.581459999,60.90000153,0.68,9,247.658927,909.911437,96.6382832,336.6780945
8656,CO Site-097,Colorado,CO,-846062.1519,1922147.139,No,No,No,SouthernRockies,Zeroes,0.16,0.17,9.118109703,53.79999924,0.82,45,198.1542832,716.1055718,54.11863147,241.4964386
8657,CO Site-017,Colorado,CO,-824513.2221,1925381.302,Yes,No,Yes,SouthernRockies,Zeroes,0,0.01,15.58030033,51.40000153,0.83,45,161.8862725,859.677193,50.33976939,294.6174896
8658,CO Site-033,Colorado,CO,-812361.2923,1914504.464,Yes,No,Yes,SouthernRockies,Zeroes,0,0,13.31029987,34,0.86,45,113.7493942,900.9847953,65.91011164,300.0569733
8772,CO Site-018,Colorado,CO,-958909.7533,1957359.766,Yes,No,Yes,SouthernRockies,Zeroes,0.01,0.01,5.005179882,70.19999695,0.73,9,213.8932132,508.422807,66.00976755,175.6869614
8773,CO Site-034,Colorado,CO,-940981.8235,1956254.929,Yes,No,Yes,SouthernRockies,Zeroes,0.11,0.22,2.40741992,66.90000153,0.99,9,333.6887157,1310.146041,113.2776694,502.3801392
8774,CO Site-042,Colorado,CO,-925514.8936,1952173.092,Yes,No,Yes,SouthernRockies,Zeroes,0.02,0.04,3.925519943,76.80000305,0.83,9,347.7516623,1263.78538,150.1861257,486.0960754
8782,CO Site-081,Colorado,CO,-809679.4551,1931594.394,No,No,No,SouthernRockies,Zeroes,0,0,8.26142025,56.20000076,0.96,45,193.1577451,1112.178299,97.46013011,385.2108704
9148,CO Site-118,Colorado,CO,-888176.5223,1997735.207,No,No,No,SouthernRockies,Zeroes,0,0,9.487059593,61.40000153,0.95,45,353.4461066,1608.444186,145.157106,661.7527344
9152,CO Site-013,Colorado,CO,-836700.803,1985412.858,Yes,No,Yes,SouthernRockies,Zeroes,0.01,0.01,4.943729877,14.89999962,1,45,287.067802,1150.78029,89.52424884,427.7218201
9153,CO Site-117,Colorado,CO,-820520.8732,1978991.021,No,No,No,SouthernRockies,Zeroes,0.01,0.01,0.893162012,36.70000076,1,45,207.3299385,1205.279532,104.6415643,435.80625
9277,CO Site-077,Colorado,CO,-818705.036,1998980.951,No,No,No,SouthernRockies,Zeroes,0.26,0.26,1.491230011,52.59999847,0.99,45,214.1918342,1334.056069,42.42642037,485.7038757
9278,CO Site-113,Colorado,CO,-803005.1062,1997048.113,No,No,No,SouthernRockies,Zeroes,0.26,0.28,2.497070074,21.60000038,0.8,45,249.2424727,968.1142857,82.82449205,313.8231689
9395,CO Site-062,Colorado,CO,-895365.7776,2029954.904,No,No,No,SouthernRockies,Zeroes,0.26,0.36,8.018219948,78.90000153,0.59,45,314.4017601,786.1151163,120.8563561,309.3399017
